product_name,product_Short description,product_Description,Product_Tax status,In_stock?,product_Stock,product_Weight (g),product_Length (cm),product_Width (cm),product_Height (cm),"product_Sale price,price,rate,value,Rupees,rs,₹",product_Regular price ,product_Category,product_variants,product_colors,product_Attribute 1 name,product_color,Attribute 1 visible,product_Attribute 1 global,product_Attribute 1 default,product_link,product_discount
Camo Dino Adventure Bag - Blue,,Blue,taxable,1,100,850,13,28,36,1770,2670,School Bags,,"{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#0000FF"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,Blue,,1,,https://grabaggs.com/product/camodino-adventure-bag/,33%
Camo Dino Adventure Bag - Sea Green,,Sea Green,taxable,1,100,850,13,28,36,1770,2670,School Bags,,,color,Sea Green,,1,,https://grabaggs.com/product/camodino-adventure-bag/,33%
Camo Dino Adventure Bag - Grey,,Grey,taxable,1,100,850,13,28,36,1770,2670,School Bags,,"{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Grey"":{""name"":""Grey"",""color"":""#808080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,Grey,,1,,https://grabaggs.com/product/camodino-adventure-bag/,33%
Urban Streak Gear Pack - Grey,,Grey With Yellow,taxable,1,100,850,14,28,36,1770,2670,School Bags,,"{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Grey"":{""name"":""Grey"",""color"":""#808080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,Grey,,1,,https://grabaggs.com/product/urban-streak-gearpack/,33%
Graffiti Vibe Daypack - Brown,,Brown,taxable,1,100,850,15,28,36,1750,2650,School Bags,,,color,Brown,,1,,https://grabaggs.com/product/graffiti-vibe-daypack/,33%
Fly 2 Space Backpack,"Blast off into learning and adventure with the Fly 2 Space Backpack! Featuring a vibrant graphic of a cool astronaut riding a rocket through the cosmos, this backpack ignites imagination. With ample storage, including a roomy main compartment and handy side pockets, it's perfect for carrying books, gadgets, and snacks. Comfortable padded straps ensure easy and enjoyable transport for school, travel, and beyond","1)Eye-Catching Design: Features a dynamic ""FLY 2 SPACE"" graphic with an astronaut on a rocket, planets, and stars.
\n2)Spacious Storage: Offers a large main compartment and a front zippered pocket for organized belongings.
\n3)Convenient Side Pockets: Includes mesh side pockets ideal for water bottles or quick-access items.
\n4)Comfortable to Carry: Designed with padded shoulder straps and a back panel for comfortable wear.
\n5)Durable Construction: Made from sturdy materials to withstand daily use.
\n6)Inspires Imagination: Perfect for kids who love space, astronauts, and cosmic adventures.",taxable,1,99,850,13,28,36,1199,2199,School Bags,"Black School Bags, School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Black"":{""name"":""Black"",""color"":""#000000"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,Black,1,1,Black,https://grabaggs.com/product/fly-2-space-backpack-gbibcb-048-5-at-bk/,45%
Fly 2 Space Backpack - Black,,Black + Yellow Design,taxable,1,99,850,13,28,36,1199,2199,School Bags,,,color,Black,,1,,https://grabaggs.com/product/fly-2-space-backpack-gbibcb-048-5-at-bk/,31%
Moo Mates Cattle Buddy Backpack,"Unleash adventure every school day with theCamoDino Adventure Bag! Featuring playful dinosaur prints on vibrant camo backgrounds, this backpack blends bold style with practical function. Designed with growing kids in mind, it offers ample storage, comfy padding, and cool colors they???ll love to show off. Whether it???s books, lunch, or treasures from the playground, this backpack has space for it all.","Turn every day into a barnyard adventure with the MooMates Cattle Buddy Backpack! Designed to delight and built for comfort, this irresistibly cute cow-themed backpack is perfect for toddlers and preschoolers. With its soft plush features, roomy interior, and adjustable straps, it???s ideal for daycare, outings, or playdates. Lightweight, safe, and full of charm, it's a must-have for little animal lovers.",taxable,1,100,850,19,31,44,1970,2870,School Bags,"Blue School Bags, Grey School Bags, School, School Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#0000FF"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Grey"":{""name"":""Grey"",""color"":""#808080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Blue, Grey",1,1,Grey,https://grabaggs.com/product/moo-mates-cattle-buddy-backpack/,31%
Camo Dino Adventure Bag,"Unleash adventure every school day with theCamoDino Adventure Bag! Featuring playful dinosaur prints on vibrant camo backgrounds, this backpack blends bold style with practical function. Designed with growing kids in mind, it offers ample storage, comfy padding, and cool colors they???ll love to show off. Whether it???s books, lunch, or treasures from the playground, this backpack has space for it all.","1)Playful Dino Theme: Eye-catching dinosaur camo print in 4 fun color combos 2)Spacious &amp; Organized: Multiple zippered compartments for books, lunch, and more 3)Kid-Friendly Comfort: Breathable mesh padding and adjustable shoulder straps 4)Durable Build: Strong fabric and quality zippers built to handle daily adventures 5)Side Mesh Pockets: Perfect for water bottles or easy-grab items 6)Safety Touch: Reflective strips for better visibility on the go 7)Easy-Carry Handle: Grab-and-go top loop for quick lifting",taxable,1,100,850,14,30,40,1770,2670,School Bags,"Blue School Bags, Grey School Bags, School, School Bags, Sea Green Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#0000FF"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Grey"":{""name"":""Grey"",""color"":""#808080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Sea Green"":{""name"":""Sea Green"",""color"":""#2e8b57"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Blue, Grey, Sea Green",1,1,Grey,https://grabaggs.com/product/camodino-adventure-bag/,33%
Urban Streak Gear Pack,"The Urban Streak GearPack brings together bold street-style design with practical everyday function. Featuring abstract camo prints in energetic colorways, this backpack is perfect for students and young adventurers alike. With multiple compartments and a sleek, modern aesthetic, it keeps essentials secure and style on point???whether in the classroom or out exploring the city.",,taxable,1,100,850,16,30,42,1770,2670,School Bags,"Black School Bags, Blue School Bags, Grey School Bags, School, School Bags, Sea Green Bags","{""color"":{""name"":""color"",""type"":""color"",""terms"":{""Black"":{""name"":""Black"",""color"":""#000000"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Blue"":{""name"":""Blue"",""color"":""#0000FF"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Grey"":{""name"":""Grey"",""color"":""#808080"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Sea Green"":{""name"":""Sea Green"",""color"":""#2e8b57"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",color,"Black, Blue, Grey, Sea Green",1,1,Grey,https://grabaggs.com/product/urban-streak-gearpack/,33%
